[2025-12-16T22:58:41.371+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 211, 100 locations
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 212, 100 locations
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 213, 100 locations
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 214, 100 locations
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 215, 100 locations
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 216, 100 locations
[2025-12-16T23:04:47.168+0000] {subprocess.py:93} INFO - Fetched page 217, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 218, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 219, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 220, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 221, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 222, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 223, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 224, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 225, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 226, 100 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Fetched page 227, 18 locations
[2025-12-16T23:04:47.169+0000] {subprocess.py:93} INFO - Loaded 22618 locations into openaq-elt-pipeline.openaq_raw.locations
[2025-12-16T23:04:47.250+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2025-12-16T23:04:47.251+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-12-16T23:04:47.279+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=openaq_elt_pipeline, task_id=ingest_locations, run_id=manual__2025-12-16T22:58:40.329145+00:00, execution_date=20251216T225840, start_date=20251216T225841, end_date=20251216T230447
[2025-12-16T23:04:47.327+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2025-12-16T23:04:47.348+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-12-16T23:04:47.349+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
